Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
Advanced Rehabilitation Center,TN,Healthcare Provider,500,08/30/2017,06/23/2017,Theft,Other Portable Electronic Device,Archived,2017,68
Mercy Medical Center,NH,Healthcare Provider,3992,10/15/2017,07/11/2017,Theft,Email,Archived,2017,96
Good Samaritan Health Services,NH,Healthcare Provider,3849,06/24/2017,03/18/2017,Loss,Other,Archived,2017,98
Aetna Health Plan,HI,Health Plan,2004,06/26/2017,02/11/2017,Hacking/IT Incident,Network Server,Archived,2017,135
Beacon Urgent Care,MS,Healthcare Provider,5987,07/08/2017,04/02/2017,Unauthorized Access/Disclosure,Email,Archived,2017,97
Liberty Health Plan,WA,Healthcare Provider,11312,12/23/2017,11/29/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,24
Central Family Practice,NC,Healthcare Provider,1642,09/29/2017,07/11/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,80
American Dental Group,UT,Healthcare Provider,893,02/24/2018,11/15/2017,Unauthorized Access/Disclosure,Email,Archived,2017,101
MedSecure Solutions,MD,Business Associate,500,05/25/2017,02/08/2017,Unauthorized Access/Disclosure,Email,Archived,2017,106
Community Pharmacy,AL,Healthcare Provider,2121,06/06/2017,04/27/2017,Hacking/IT Incident,Network Server,Archived,2017,40
Lakeside Pharmacy,ID,Healthcare Provider,500,03/11/2018,12/16/2017,Improper Disposal,Network Server,Archived,2017,85
BlueCross BlueShield of VT,VT,Health Plan,2416,11/21/2017,07/26/2017,Unauthorized Access/Disclosure,Email,Archived,2017,118
Heritage Urgent Care,AK,Healthcare Provider,6903,10/04/2017,07/23/2017,Hacking/IT Incident,Email,Archived,2017,73
Cigna Healthcare,CO,Health Plan,751,12/05/2017,08/25/2017,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2017,102
Lakeside Family Practice,NE,Healthcare Provider,539,11/04/2017,10/13/2017,Improper Disposal,Network Server,Archived,2017,22
Molina Healthcare of DE,DE,Health Plan,6245,04/15/2018,12/18/2017,Hacking/IT Incident,Email,Archived,2017,118
HealthFirst IT,MN,Business Associate,8827,05/06/2017,03/13/2017,Theft,Email,Archived,2017,54
ClinicalPath Software,PA,Business Associate,1834,09/20/2017,07/15/2017,Unauthorized Access/Disclosure,Email,Archived,2017,67
Community Urgent Care,VA,Healthcare Provider,48933,05/09/2017,03/29/2017,Hacking/IT Incident,Network Server,Archived,2017,41
University Eye Care,MS,Healthcare Provider,3419,06/29/2017,04/16/2017,Hacking/IT Incident,Email,Archived,2017,74
University Mental Health Services,IA,Healthcare Provider,500,04/15/2017,02/26/2017,Other,Desktop Computer,Archived,2017,48
Trinity Health Network,NE,Healthcare Provider,4119,12/24/2017,08/10/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,136
Mercy Home Health,KY,Healthcare Provider,4639,07/22/2017,03/15/2017,Hacking/IT Incident,Email,Archived,2017,129
Premier Family Practice,UT,Healthcare Provider,5110,02/28/2017,01/21/2017,Unauthorized Access/Disclosure,Paper/Films,Archived,2017,38
Anthem Blue Cross,UT,Health Plan,1467,09/22/2017,04/02/2017,Improper Disposal,Network Server,Archived,2017,173
HealthVault Systems,NJ,Business Associate,1736,04/09/2017,01/23/2017,Loss,Email,Archived,2017,76
Mountain Rehabilitation Center,VT,Healthcare Provider,19088,09/10/2017,04/22/2017,Hacking/IT Incident,Network Server,Archived,2017,141
Community Eye Care,AR,Healthcare Provider,15060,10/15/2017,08/19/2017,Hacking/IT Incident,Email,Archived,2017,57
CloudMed Solutions,KY,Business Associate,41232,10/20/2017,06/25/2017,Hacking/IT Incident,Network Server,Archived,2017,117
Mercy Eye Care,IL,Healthcare Provider,20190,01/12/2018,08/26/2017,Hacking/IT Incident,Paper/Films,Archived,2017,139
Mountain Pharmacy,MD,Healthcare Provider,500,06/29/2017,01/10/2017,Theft,Network Server,Archived,2017,170
Heritage Eye Care,RI,Healthcare Provider,10228,06/11/2017,04/02/2017,Theft,Desktop Computer,Archived,2017,70
Liberty Medical Center,WI,Healthcare Provider,738,01/14/2018,12/04/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,41
DataSync Health IT,WA,Business Associate,9500,08/26/2017,05/08/2017,Hacking/IT Incident,Network Server,Archived,2017,110
Anthem Blue Cross,NY,Health Plan,500,04/17/2017,02/19/2017,Unauthorized Access/Disclosure,Paper/Films,Archived,2017,57
MedData Services,KY,Business Associate,2709,01/23/2018,11/16/2017,Hacking/IT Incident,Network Server,Archived,2017,68
Guardian Health Plan,AZ,Healthcare Provider,11106,10/28/2017,07/25/2017,Hacking/IT Incident,Paper/Films,Archived,2017,95
Harmony Healthcare,WY,Healthcare Provider,13658,04/15/2017,02/04/2017,Theft,Paper/Films,Archived,2017,70
Integrated Health Services,NH,Healthcare Provider,33914,06/17/2017,05/09/2017,Hacking/IT Incident,Email,Archived,2017,39
Liberty Mental Health Services,TX,Healthcare Provider,1129,04/25/2018,12/08/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,138
Mountain Family Practice,VT,Healthcare Provider,1889,03/22/2017,01/07/2017,Hacking/IT Incident,Network Server,Archived,2017,74
Riverside Mental Health Services,WA,Healthcare Provider,182491,06/30/2017,03/12/2017,Hacking/IT Incident,Network Server,Archived,2017,110
Community Home Health,CO,Healthcare Provider,27608,11/23/2017,08/16/2017,Theft,Network Server,Archived,2017,99
National Health Plan,AZ,Healthcare Provider,1173,08/05/2017,04/28/2017,Loss,Electronic Medical Record,Archived,2017,99
University Physicians Group,NV,Healthcare Provider,500,12/05/2017,11/19/2017,Hacking/IT Incident,Other,Archived,2017,16
Guardian Family Practice,OK,Healthcare Provider,2536,06/29/2017,04/15/2017,Hacking/IT Incident,Network Server,Archived,2017,75
Atlantic Clinical Associates,NH,Healthcare Provider,6715,09/01/2017,06/05/2017,Loss,Email,Archived,2017,88
Legacy Dental Group,OK,Healthcare Provider,500,09/08/2017,07/13/2017,Theft,Paper/Films,Archived,2017,57
Pacific Clinical Associates,NM,Healthcare Provider,500,11/17/2017,06/03/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,167
Beacon Physicians Group,SD,Healthcare Provider,22479,10/07/2017,09/04/2017,Hacking/IT Incident,Network Server,Archived,2017,33
MedData Services,AL,Business Associate,1610,11/25/2017,08/01/2017,Unauthorized Access/Disclosure,Email,Archived,2017,116
Summit Physicians Group,NE,Healthcare Provider,18214,03/07/2017,01/20/2017,Theft,Other Portable Electronic Device,Archived,2017,46
Advanced Medical Center,NH,Healthcare Provider,2441,11/20/2017,06/28/2017,Theft,Other Portable Electronic Device,Archived,2017,145
Regional Health Services,RI,Healthcare Provider,11306,05/05/2017,01/18/2017,Hacking/IT Incident,Email,Archived,2017,107
CloudMed Solutions,NJ,Business Associate,15983,04/17/2018,11/05/2017,Hacking/IT Incident,Network Server,Archived,2017,163
ClinicalPath Software,IL,Business Associate,500,06/11/2018,12/28/2017,Improper Disposal,Desktop Computer,Archived,2017,165
Integrated Health Network,KS,Healthcare Provider,500,03/23/2018,12/21/2017,Hacking/IT Incident,Network Server,Archived,2017,92
Alliance Family Practice,AZ,Healthcare Provider,4762,08/16/2017,06/26/2017,Hacking/IT Incident,Network Server,Archived,2017,51
Sacred Heart Dental Group,ME,Healthcare Provider,11765,04/23/2018,12/23/2017,Hacking/IT Incident,Network Server,Archived,2017,121
HealthFirst IT,CT,Business Associate,2698,08/25/2017,04/04/2017,Loss,Network Server,Archived,2017,143
Valley Medical Group,HI,Healthcare Provider,3975,12/03/2017,07/29/2017,Hacking/IT Incident,Network Server,Archived,2017,127
Community Healthcare,CA,Healthcare Provider,2020,02/04/2017,01/05/2017,Hacking/IT Incident,Paper/Films,Archived,2017,30
American Surgical Center,MN,Healthcare Provider,786,10/03/2017,05/17/2017,Unauthorized Access/Disclosure,Laptop,Archived,2017,139
Centene Corp,CA,Health Plan,5489,10/09/2017,07/02/2017,Loss,Network Server,Archived,2017,99
Beacon Home Health,RI,Healthcare Provider,752,08/25/2017,05/08/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,109
Alliance Health System,NV,Healthcare Provider,88555,10/22/2017,06/16/2017,Hacking/IT Incident,Other Portable Electronic Device,Archived,2017,128
WellCare Health Plans,MD,Health Plan,5771,01/13/2018,12/04/2017,Hacking/IT Incident,Network Server,Archived,2017,40
Central Family Practice,DC,Healthcare Provider,11514,10/09/2017,09/16/2017,Loss,Other,Archived,2017,23
Mercy Health Plan,KS,Healthcare Provider,8972,09/30/2017,08/17/2017,Hacking/IT Incident,Paper/Films,Archived,2017,44
Integrated Clinical Associates,CO,Healthcare Provider,2223,09/02/2017,08/11/2017,Hacking/IT Incident,Network Server,Archived,2017,22
PrimeHealth Analytics,NH,Business Associate,629,04/23/2017,03/05/2017,Unauthorized Access/Disclosure,Paper/Films,Archived,2017,49
Integrated Mental Health Services,MN,Healthcare Provider,9236,04/08/2018,10/22/2017,Theft,Paper/Films,Archived,2017,168
Mountain Health System,IL,Healthcare Provider,6544,07/15/2018,04/25/2018,Hacking/IT Incident,Email,Archived,2018,81
Trinity Medical Center,CA,Healthcare Provider,665,09/30/2018,06/10/2018,Unauthorized Access/Disclosure,Network Server,Archived,2018,112
Providence Healthcare,ID,Healthcare Provider,974,08/22/2018,07/06/2018,Unauthorized Access/Disclosure,Email,Archived,2018,47
Riverside Family Practice,UT,Healthcare Provider,159571,08/11/2018,06/01/2018,Hacking/IT Incident,Electronic Medical Record,Archived,2018,71
Mountain Clinical Associates,DE,Healthcare Provider,791,02/07/2019,11/03/2018,Other,Electronic Medical Record,Archived,2018,96
National Surgical Center,LA,Healthcare Provider,500,12/09/2018,09/11/2018,Hacking/IT Incident,Electronic Medical Record,Archived,2018,89
UnitedHealth Group,WI,Health Plan,500,08/19/2018,04/02/2018,Other,Email,Archived,2018,139
Sacred Heart Family Practice,MS,Healthcare Provider,4975,10/21/2018,06/28/2018,Theft,Network Server,Archived,2018,115
BlueCross BlueShield of WV,WV,Health Plan,962,06/14/2018,03/09/2018,Loss,Electronic Medical Record,Archived,2018,97
Riverside Physicians Group,MD,Healthcare Provider,30549,07/18/2018,03/12/2018,Hacking/IT Incident,Electronic Medical Record,Archived,2018,128
Summit Medical Center,OK,Healthcare Provider,10208,02/04/2019,12/14/2018,Hacking/IT Incident,Other,Archived,2018,52
Trinity Medical Group,NV,Healthcare Provider,12226,03/04/2018,01/18/2018,Theft,Network Server,Archived,2018,45
Anthem Blue Cross,ME,Health Plan,2929,01/10/2019,12/04/2018,Hacking/IT Incident,Electronic Medical Record,Archived,2018,37
Legacy Health Plan,MT,Healthcare Provider,6926,03/30/2018,02/12/2018,Hacking/IT Incident,Email,Archived,2018,46
American Family Practice,IA,Healthcare Provider,2785,08/03/2018,02/18/2018,Unauthorized Access/Disclosure,Network Server,Archived,2018,166
Wellspring Urgent Care,KS,Healthcare Provider,10282,01/14/2019,12/25/2018,Hacking/IT Incident,Desktop Computer,Archived,2018,20
Aetna Health Plan,AZ,Health Plan,500,01/15/2019,11/30/2018,Hacking/IT Incident,Email,Archived,2018,46
Heritage Medical Group,NE,Healthcare Provider,12689,07/26/2018,06/10/2018,Hacking/IT Incident,Network Server,Archived,2018,46
Summit Dental Group,KS,Healthcare Provider,500,07/27/2018,03/05/2018,Other,Electronic Medical Record,Archived,2018,144
Wellspring Rehabilitation Center,CO,Healthcare Provider,4598,08/22/2018,03/13/2018,Theft,Email,Archived,2018,162
Trinity Physicians Group,MI,Healthcare Provider,500,04/08/2018,01/23/2018,Other,Email,Archived,2018,75
St. Mary's Clinical Associates,NM,Healthcare Provider,828,08/28/2018,03/07/2018,Unauthorized Access/Disclosure,Laptop,Archived,2018,174
ClinicalPath Software,MI,Business Associate,568,09/11/2018,05/11/2018,Hacking/IT Incident,Email,Archived,2018,123
Legacy Medical Group,NE,Healthcare Provider,10274,01/30/2019,11/27/2018,Unauthorized Access/Disclosure,Network Server,Archived,2018,64
Mountain Pharmacy,MO,Healthcare Provider,2425,07/02/2018,01/14/2018,Hacking/IT Incident,Email,Archived,2018,169
HealthVault Systems,MA,Business Associate,65412,07/11/2018,05/20/2018,Hacking/IT Incident,Network Server,Archived,2018,52
Trinity Health Network,ND,Healthcare Provider,1406,04/10/2018,02/23/2018,Loss,Email,Archived,2018,46
National Medical Group,OH,Healthcare Provider,88249,10/28/2018,05/25/2018,Hacking/IT Incident,Paper/Films,Archived,2018,156
RxTech Solutions,KY,Business Associate,5854,03/26/2019,10/10/2018,Unauthorized Access/Disclosure,Network Server,Archived,2018,167
Good Samaritan Medical Center,NE,Healthcare Provider,500,01/19/2019,12/03/2018,Improper Disposal,Email,Archived,2018,47
Pacific Eye Care,UT,Healthcare Provider,1105,06/02/2019,12/14/2018,Other,Paper/Films,Archived,2018,170
HealthVault Systems,MA,Business Associate,500,01/03/2019,08/08/2018,Theft,Network Server,Archived,2018,148
Mercy Health System,ND,Healthcare Provider,31990,08/12/2018,02/16/2018,Hacking/IT Incident,Network Server,Archived,2018,177
NovaCare Systems,OK,Business Associate,984,09/27/2018,09/10/2018,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2018,17
Memorial Physicians Group,KY,Healthcare Provider,6995,05/13/2019,12/13/2018,Improper Disposal,Electronic Medical Record,Archived,2018,151
Wellspring Healthcare Clearinghouse,MT,Healthcare Clearinghouse,935,09/11/2018,06/26/2018,Theft,Network Server,Archived,2018,77
Lakeside Home Health,AL,Healthcare Provider,1081,12/07/2018,09/26/2018,Unauthorized Access/Disclosure,Network Server,Archived,2018,72
MedSecure Solutions,TN,Business Associate,500,06/08/2018,02/27/2018,Unauthorized Access/Disclosure,Paper/Films,Archived,2018,101
Alliance Physicians Group,AK,Healthcare Provider,12565,08/21/2018,05/31/2018,Improper Disposal,Other Portable Electronic Device,Archived,2018,82
CloudMed Solutions,NV,Business Associate,553,06/01/2018,01/19/2018,Unauthorized Access/Disclosure,Email,Archived,2018,133
MedData Services,VA,Business Associate,1072,04/17/2018,01/03/2018,Unauthorized Access/Disclosure,Network Server,Archived,2018,104
Memorial Health Services,NV,Healthcare Provider,972,11/14/2018,09/21/2018,Theft,Network Server,Archived,2018,54
VitalConnect Inc,KS,Business Associate,12789,11/07/2018,07/06/2018,Hacking/IT Incident,Other,Archived,2018,124
Kaiser Foundation,CA,Health Plan,500,06/26/2018,03/13/2018,Loss,Electronic Medical Record,Archived,2018,105
Community Medical Group,MN,Healthcare Provider,500,07/04/2018,03/10/2018,Theft,Other Portable Electronic Device,Archived,2018,116
Alliance Home Health,VT,Healthcare Provider,2877,10/28/2018,09/11/2018,Theft,Electronic Medical Record,Archived,2018,47
Legacy Hospital,SC,Healthcare Provider,2202,03/17/2018,02/25/2018,Theft,Network Server,Archived,2018,20
Sacred Heart Urgent Care,MD,Healthcare Provider,21816,11/19/2018,11/02/2018,Hacking/IT Incident,Network Server,Archived,2018,17
St. Mary's Health Plan,GA,Healthcare Provider,804,06/23/2018,04/06/2018,Theft,Network Server,Archived,2018,78
Riverside Health Plan,WA,Healthcare Provider,1880,07/15/2018,02/22/2018,Hacking/IT Incident,Network Server,Archived,2018,143
Central Medical Center,WA,Healthcare Provider,500,07/18/2018,03/16/2018,Unauthorized Access/Disclosure,Email,Archived,2018,124
Trinity Healthcare,FL,Healthcare Provider,2041,06/26/2018,02/01/2018,Hacking/IT Incident,Network Server,Archived,2018,145
National Surgical Center,CA,Healthcare Provider,2507,07/10/2018,06/13/2018,Hacking/IT Incident,Email,Archived,2018,27
Lakeside Surgical Center,WY,Healthcare Provider,5017,03/09/2018,02/19/2018,Unauthorized Access/Disclosure,Paper/Films,Archived,2018,18
Heritage Health Network,MO,Healthcare Provider,500,02/24/2019,11/06/2018,Unauthorized Access/Disclosure,Laptop,Archived,2018,110
Valley Health System,CT,Healthcare Provider,500,02/03/2019,12/02/2018,Improper Disposal,Email,Archived,2018,63
UnitedHealth Group,NY,Health Plan,2629,09/12/2018,04/14/2018,Hacking/IT Incident,Email,Archived,2018,151
Legacy Hospital,MS,Healthcare Provider,47005,09/13/2018,08/12/2018,Hacking/IT Incident,Network Server,Archived,2018,32
Cigna Healthcare,DE,Health Plan,42750,11/16/2018,10/17/2018,Theft,Network Server,Archived,2018,30
Integrated Pharmacy,AR,Healthcare Provider,533,04/06/2018,02/08/2018,Theft,Network Server,Archived,2018,57
Memorial Home Health,DE,Healthcare Provider,1203,08/31/2018,03/23/2018,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2018,161
Mountain Medical Group,NM,Healthcare Provider,677,07/22/2018,04/23/2018,Hacking/IT Incident,Email,Archived,2018,90
National Health Plan,DC,Healthcare Provider,500,07/11/2018,05/23/2018,Other,Network Server,Archived,2018,49
DataSync Health IT,CO,Business Associate,544,05/08/2019,11/20/2018,Improper Disposal,Laptop,Archived,2018,169
Memorial Rehabilitation Center,FL,Healthcare Provider,2064406,02/08/2019,11/10/2018,Hacking/IT Incident,Other,Archived,2018,90
Anthem Blue Cross,DE,Health Plan,2492,12/07/2018,10/26/2018,Improper Disposal,Network Server,Archived,2018,42
Heritage Health Network,MO,Healthcare Provider,674,08/22/2018,04/16/2018,Theft,Desktop Computer,Archived,2018,128
Central Urgent Care,IA,Healthcare Provider,22759,11/28/2018,08/11/2018,Hacking/IT Incident,Network Server,Archived,2018,109
Trinity Medical Group,TX,Healthcare Provider,1985,11/09/2018,09/09/2018,Loss,Paper/Films,Archived,2018,61
Alliance Healthcare,UT,Healthcare Provider,500,04/17/2018,03/15/2018,Theft,Network Server,Archived,2018,33
BlueCross BlueShield of ME,ME,Health Plan,25507,03/16/2018,02/26/2018,Hacking/IT Incident,Paper/Films,Archived,2018,18
Central Physicians Group,MN,Healthcare Provider,1382,02/16/2018,01/05/2018,Hacking/IT Incident,Paper/Films,Archived,2018,42
Mountain Hospital,MO,Healthcare Provider,500,06/03/2018,05/05/2018,Loss,Network Server,Archived,2018,29
Regional Health Plan,MA,Healthcare Provider,1838,09/21/2018,08/01/2018,Unauthorized Access/Disclosure,Network Server,Archived,2018,51
Mountain Urgent Care,SD,Healthcare Provider,1374,04/09/2019,12/17/2018,Hacking/IT Incident,Network Server,Archived,2018,113
HealthBridge IT Services,IL,Business Associate,3401,06/17/2018,03/02/2018,Hacking/IT Incident,Network Server,Archived,2018,107
Trinity Family Practice,MT,Healthcare Provider,10774,08/04/2018,04/03/2018,Hacking/IT Incident,Network Server,Archived,2018,123
